
----------------------- SPEED -----------------------

[km/h] - [microseconds]

240 - 2200
220 - 2500
200 - 2800
180 - 3300
160 - 3800
140 - 4400
120 - 5400
100 - 6600
80 - 8600
60 - 11800
40 - 19000
20 - 43000
0 - 120000

----------------------- REVOLUTIONS -----------------------

[x/1000] - [microseconds]

7000 - 3100
6500 - 3500
6000 - 3900
5500 - 4300
5000 - 4850
4500 - 5500
4000 - 6300
3750 - 7000
3500 - 7500
3000 - 9000
2750 - 10000
2500 - 11000
2000 - 14000
1750 - 16300
1500 - 19500
1250 - 24000
1000 - 
0500 - 
0000 - 
